course_session_id,course_id,course_session_name,course_session_type,course_teacher_id,course_session_scheduled_start_time,course_session_scheduled_end_time,teacher_start_time,teacher_end_time,teaching_time,course_session_status,created_at
10726,10144,Lipids,ONLINE,201.00,7/27/2023 15:00,7/27/2023 15:50,7/27/2023 15:01,7/28/2023 11:24,1224,ended,7/20/2023 16:07
14069,10182,polls,ONLINE,707.00,10/6/2023 11:00,10/6/2023 12:00,10/6/2023 10:46,10/6/2023 15:06,260,ended,10/6/2023 10:45
19091,10276,123,ONLINE,1910.00,4/24/2024 10:08,4/24/2024 11:08,4/24/2024 10:09,4/25/2024 11:03,1494,ended,12/18/2023 12:59
19694,10387,الفصل الثالث /حل المعادلات بالفرق بين مربعين,ONLINE,5367.00,12/28/2023 18:00,12/28/2023 19:00,12/28/2023 17:59,12/28/2023 19:01,62,ended,12/28/2023 17:48
19730,10192,Carnot Engine,ONLINE,189.00,12/29/2023 16:00,12/29/2023 17:00,NaT,NaT,0,ended,12/29/2023 13:26
19782,10460,Quiz,ONLINE,6077.00,12/30/2023 12:25,12/30/2023 13:25,12/30/2023 12:25,12/30/2023 13:34,68,ended,12/30/2023 12:19
19799,10588,مراجعة شامله,ONLINE,8330.00,12/30/2023 15:10,12/30/2023 17:10,12/30/2023 15:09,12/30/2023 16:07,58,ended,12/30/2023 15:09
20190,10597,زتونة المنهج و مراجعة ليلة الامتحان,ONLINE,8530.00,1/8/2024 18:00,1/8/2024 20:00,1/8/2024 18:40,1/8/2024 19:23,43,ended,1/5/2024 19:03
20193,10572,حل محافظات,ONLINE,8317.00,1/9/2024 16:00,1/9/2024 17:00,1/9/2024 16:30,1/9/2024 16:30,0,ended,1/5/2024 21:56
20196,10595,حل محافظة,ONLINE,8317.00,1/8/2024 19:00,1/8/2024 20:00,1/8/2024 19:11,1/8/2024 20:04,54,ended,1/5/2024 22:02
20227,10144,Revision chap 06 I P5,ONLINE,201.00,1/12/2024 15:00,1/12/2024 16:00,NaT,NaT,0,ended,1/6/2024 13:40
20257,10525,نئی ہمسائی,ONLINE,208.00,1/8/2024 14:45,1/8/2024 15:25,1/8/2024 14:45,1/8/2024 15:26,41,ended,1/6/2024 15:30
20726,10276,123,ONLINE,1910.00,1/12/2024 14:21,1/12/2024 15:21,1/12/2024 14:21,1/13/2024 0:00,578,ended,1/12/2024 14:21
21037,10715,16th Jan Test 1,HYBRID,18283.00,1/16/2024 11:32,1/16/2024 12:32,1/16/2024 11:32,1/16/2024 16:06,274,ended,1/16/2024 11:32
21200,10479,3D Area and Volumes,ONLINE,7083.00,1/18/2024 12:00,1/18/2024 13:00,1/18/2024 11:48,1/18/2024 12:56,68,ended,1/18/2024 11:48
21290,10385,مراجعة اسئلة نصف السنه,ONLINE,5357.00,1/19/2024 18:00,1/19/2024 19:00,1/19/2024 18:00,1/19/2024 19:00,60,ended,1/19/2024 13:40
21313,10170,Coloumb's law introduction,ONLINE,211.00,1/19/2024 16:30,1/19/2024 17:30,1/19/2024 16:29,1/19/2024 16:39,10,ended,1/19/2024 16:29
21321,10597,اوعى تفوت التدريبات المهمة دى - المراجعة النهائية,ONLINE,8530.00,1/19/2024 19:18,1/19/2024 20:18,1/19/2024 19:18,1/19/2024 19:24,6,ended,1/19/2024 19:18
26070,10769,20/03/2024 - testing survey,HYBRID,227.00,3/20/2024 13:45,3/20/2024 14:45,3/20/2024 13:45,3/20/2024 18:42,296,ended,3/20/2024 13:45
30371,11269,27,ONLINE,18283.00,5/27/2024 12:23,5/27/2024 13:23,5/27/2024 12:23,5/27/2024 15:40,197,ended,5/27/2024 12:23
31925,10721,1,HYBRID,12.00,7/9/2024 9:07,7/9/2024 10:07,7/9/2024 9:07,7/9/2024 12:14,187,ended,7/9/2024 9:07
40918,12396,22-Nov-24,HYBRID,490217.00,11/22/2024 4:00,11/22/2024 5:00,11/22/2024 3:57,11/22/2024 7:02,186,ended,11/22/2024 3:52
43793,12397,24th Dec,HYBRID,484079.00,12/24/2024 4:00,12/24/2024 5:00,12/24/2024 4:01,12/24/2024 7:05,184,ended,12/24/2024 4:00
43994,12397,26TH DEC,HYBRID,484079.00,12/26/2024 4:01,12/26/2024 5:01,12/26/2024 4:01,12/26/2024 7:10,188,ended,12/26/2024 4:01
46430,12397,24th,HYBRID,484079.00,1/24/2025 3:01,1/24/2025 4:01,1/24/2025 3:01,1/24/2025 11:10,489,ended,1/24/2025 3:01
36161,11673,مراجعة,HYBRID,19754.00,9/18/2024 4:45,9/18/2024 5:30,9/18/2024 4:45,9/18/2024 5:27,42,ended,9/18/2024 4:09
36181,11780,اساسيات الفيزياء من الصفر المحاضرة الاولى,ONLINE,84953.00,NaT,NaT,NaT,NaT,0,planned,9/18/2024 9:25
36275,11595,جملوں کی ترکیبِ نحوی ( جماعت نہم),ONLINE,208.00,9/20/2024 13:10,9/20/2024 13:55,9/20/2024 13:15,9/20/2024 13:55,40,ended,9/19/2024 13:56
31925,10721,1,HYBRID,12.00,7/9/2024 9:07,7/9/2024 10:07,7/9/2024 9:07,7/9/2024 12:14,187,ended,7/9/2024 9:07
